sample_id	bed_lines	ref_lines	rs_lines	rs_bytes	rs_wall_s	rs_peak_rss_kb
s1817	28059	28261	28059	10150837	1.53	56992
s1818	23867	23957	23867	8570199	4.47	71840
s1819	56926	57164	56926	20438043	9.6	99960
s1820	77492	77770	77492	27808523	23.0	138308
s1821	71912	72175	71912	25807611	14.97	127568
s1822	73938	74219	73938	26540441	24.56	142932
s1823	56545	56740	56545	20277753	21.14	118632
s1824	289055	292467	289055	104520144	26.09	204776
s1825	342924	348315	342924	124403744	24.73	196404
s1826	311354	315846	311354	112930873	24.27	215780
s1827	292158	295833	292158	105932369	64.11	182672
s1828	334728	339891	334728	121427074	30.22	211080
s1829	339094	344080	339094	122993084	24.96	205588
s1830	333126	337130	333126	120800262	29.31	207060
s1831	376789	381604	376789	136644531	21.25	229484
s1832	143345	145147	143345	52019239	6.46	113644
